=== K=6 FAST trial: trial_K6_d11910_h96x96_tanh_n50000_eps0.001_fast_msvrg_without_256_checkpoints_cert ===
  Fast outer 1336/3000 | t=4426.36s | bundle=3454 | grad_equiv=64662.8 | self-reported pc=4.8818e-02
  Fast outer 1340/3000 | t=4557.46s | bundle=3494 | grad_equiv=65414.0 | self-reported pc=3.5565e-02
  Fast outer 1345/3000 | t=4636.57s | bundle=3526 | grad_equiv=66015.0 | self-reported pc=5.1412e-02
  Fast outer 1349/3000 | t=4733.90s | bundle=3560 | grad_equiv=66653.5 | self-reported pc=4.2254e-02
  Fast outer 1353/3000 | t=4853.44s | bundle=3600 | grad_equiv=67404.6 | self-reported pc=3.8297e-02
  Fast outer 1357/3000 | t=4955.89s | bundle=3636 | grad_equiv=68080.7 | self-reported pc=3.7758e-02
  Fast outer 1362/3000 | t=5078.49s | bundle=3677 | grad_equiv=68850.7 | self-reported pc=3.2335e-02
  Fast outer 1366/3000 | t=5206.14s | bundle=3717 | grad_equiv=69601.9 | self-reported pc=3.4808e-02
  Fast outer 1370/3000 | t=5325.31s | bundle=3757 | grad_equiv=70353.0 | self-reported pc=4.2121e-02
  Fast outer 1374/3000 | t=5451.43s | bundle=3797 | grad_equiv=71104.2 | self-reported pc=3.6137e-02
  Fast outer 1378/3000 | t=5573.42s | bundle=3837 | grad_equiv=71855.4 | self-reported pc=3.1795e-02
  Fast outer 1384/3000 | t=5673.30s | bundle=3870 | grad_equiv=72475.1 | self-reported pc=5.7330e-02
  Fast outer 1388/3000 | t=5775.82s | bundle=3902 | grad_equiv=73076.1 | self-reported pc=4.2844e-02
  Fast outer 1392/3000 | t=5902.68s | bundle=3942 | grad_equiv=73827.2 | self-reported pc=4.9137e-02
  Fast outer 1396/3000 | t=6007.02s | bundle=3975 | grad_equiv=74447.0 | self-reported pc=4.5389e-02
  Fast outer 1401/3000 | t=6145.71s | bundle=4016 | grad_equiv=75216.9 | self-reported pc=4.2828e-02
  Fast outer 1407/3000 | t=6241.01s | bundle=4048 | grad_equiv=75817.9 | self-reported pc=7.1675e-02
  Fast outer 1411/3000 | t=6365.80s | bundle=4088 | grad_equiv=76569.1 | self-reported pc=3.0846e-02
  Fast outer 1415/3000 | t=6516.85s | bundle=4128 | grad_equiv=77320.2 | self-reported pc=4.3394e-02
  Fast outer 1424/3000 | t=6646.75s | bundle=4164 | grad_equiv=77996.3 | self-reported pc=3.9140e-02
  Fast outer 1428/3000 | t=6797.22s | bundle=4204 | grad_equiv=78747.5 | self-reported pc=5.2606e-02
  Fast outer 1432/3000 | t=6934.91s | bundle=4244 | grad_equiv=79498.7 | self-reported pc=6.2487e-02
  Fast outer 1437/3000 | t=7056.28s | bundle=4278 | grad_equiv=80137.2 | self-reported pc=4.1696e-02
  Fast outer 1441/3000 | t=7173.19s | bundle=4313 | grad_equiv=80794.4 | self-reported pc=6.9639e-02
