snapshot,K,m,batch,start,method,phi,time_s,iters,delta,active,converged,solver_success
K6_early_m108,6,108,9,2,ccp,1.5573586578695269,0.0023788330145180225,4,3.530509218307998e-14,3,1,1
K6_early_m108,6,108,9,2,ipopt,1.5534726250516449,0.100531917065382,100,0.09697211560489061,3,0,0
K6_early_m108,6,108,9,3,ccp,1.455670307213965,0.0021903752349317074,4,9.329210737263338e-10,5,1,1
K6_early_m108,6,108,9,3,ipopt,1.442598457647882,0.09620954096317291,100,0.01983679573690411,2,0,0
K6_early_m108,6,108,9,4,ccp,1.7995238220514456,0.0034771249629557133,6,5.488938192854675e-10,4,1,1
K6_early_m108,6,108,9,4,ipopt,1.5117872340061074,0.08303616708144546,100,0.0500254313900812,2,0,0
K6_early_m108,6,108,9,5,ccp,1.6712719896767705,0.0023717088624835014,4,5.0681681074138396e-11,5,1,1
K6_early_m108,6,108,9,5,ipopt,1.640005803163452,0.07639108318835497,100,0.03019899000684867,2,0,0
K6_early_m108,6,108,9,6,ccp,1.62236839663556,0.003654874861240387,6,5.4927173920304995e-12,4,1,1
K6_early_m108,6,108,9,6,ipopt,1.3091229157981217,0.08159066596999764,100,0.1668188269766515,1,0,0
K6_early_m108,6,108,9,7,ccp,1.671271989655997,0.0030228327959775925,5,7.14550640878997e-11,5,1,1
K6_early_m108,6,108,9,7,ipopt,1.303372316370484,0.08152608387172222,100,0.025042255078941533,2,0,0
K6_early_m108,6,108,9,8,ccp,1.7521504586726915,0.002872458193451166,5,3.5016434196677437e-13,4,1,1
K6_early_m108,6,108,9,8,ipopt,1.5297793614819903,0.07230270886793733,100,0.11438627279231262,2,0,0
K6_early_m108,6,108,9,9,ccp,1.6712719897274515,0.00274454103782773,5,-2.220446049250313e-16,5,1,1
K6_early_m108,6,108,9,9,ipopt,1.5306800225556751,0.09039962524548173,100,0.09119689313241564,3,0,0
K6_early_m108,6,108,10,0,ccp,1.7975436527335944,0.0029485002160072327,5,1.7763568394002505e-14,4,1,1
K6_early_m108,6,108,10,0,ipopt,1.6057204512000012,0.06961429212242365,100,0.11634100104121736,2,0,0
K6_early_m108,6,108,10,1,ccp,1.799523822045516,0.003507958259433508,6,5.548230763707807e-10,4,1,1
K6_early_m108,6,108,10,1,ipopt,1.4800719898807206,0.12276733387261629,100,0.09811471067406075,1,0,0
K6_early_m108,6,108,10,2,ccp,1.7995238220733913,0.0035223327577114105,6,5.269480407577021e-10,4,1,1
K6_early_m108,6,108,10,2,ipopt,1.63044965253778,0.07589616673067212,100,0.03876785728642429,2,0,0
K6_early_m108,6,108,10,3,ccp,1.7521504550675417,0.0022547091357409954,4,3.605501897041563e-09,4,1,1
K6_early_m108,6,108,10,3,ipopt,1.734489863370975,0.0741484584286809,100,0.021689655412966635,1,0,0
K6_early_m108,6,108,10,4,ccp,1.7995238225066443,0.003053292166441679,5,9.369527376179576e-11,4,1,1
K6_early_m108,6,108,10,4,ipopt,1.5712377828024258,0.0699450415559113,100,0.11198650633113472,2,0,0
K6_early_m108,6,108,10,5,ccp,1.6712719876084856,0.0022336249239742756,4,2.1189663357290556e-09,5,1,1
K6_early_m108,6,108,10,5,ipopt,1.6768223130732824,0.07670358335599303,100,0.024609685298029538,1,0,0
K6_early_m108,6,108,10,6,ccp,1.7995238219938599,0.0035883751697838306,6,6.064795332605399e-10,4,1,1
K6_early_m108,6,108,10,6,ipopt,1.4120772013855647,0.08099833270534873,100,0.09013879763159682,1,0,0
K6_early_m108,6,108,10,7,ccp,1.6712719787702968,0.0022330409847199917,4,1.0957155183177747e-08,5,1,1
K6_early_m108,6,108,10,7,ipopt,1.4576854923061533,0.07317270804196596,100,0.14069257310655758,2,0,0
K6_early_m108,6,108,10,8,ccp,1.5933175412266956,0.0025245831348001957,4,3.1605651429345016e-09,4,1,1
K6_early_m108,6,108,10,8,ipopt,1.394404959295743,0.09135595802217722,100,0.13968981434203442,1,0,0
K6_early_m108,6,108,10,9,ccp,1.6712719897272326,0.0030933329835534096,5,2.1938006966593093e-13,5,1,1
K6_early_m108,6,108,10,9,ipopt,1.6712489800291834,0.10102366702631116,100,2.29756622254218e-05,2,0,0
K6_early_m108,6,108,11,0,ccp,1.797543652392346,0.0023239590227603912,4,3.4126612646900867e-10,4,1,1
K6_early_m108,6,108,11,0,ipopt,1.784184282874263,0.07727587502449751,100,0.01365122261025431,2,0,0
K6_early_m108,6,108,11,1,ccp,1.7995238226003232,0.0029579168185591698,5,1.6653345369377348e-14,4,1,1
K6_early_m108,6,108,11,1,ipopt,1.5828863449756596,0.07929691672325134,100,0.09276774249408248,2,0,0
K6_early_m108,6,108,11,2,ccp,1.5358618894146268,0.0025887922383844852,4,1.024713647268527e-11,4,1,1
K6_early_m108,6,108,11,2,ipopt,1.5082492640997276,0.085101249627769,100,0.0010418738196773525,2,0,0
K6_early_m108,6,108,11,3,ccp,1.5301256966608556,0.002252667210996151,4,9.764719699489888e-09,4,1,1
K6_early_m108,6,108,11,3,ipopt,1.5877169036748375,0.07210812531411648,100,0.12917819712413903,2,0,0
K6_early_m108,6,108,11,4,ccp,1.799523822486114,0.002851958852261305,5,1.1422640611158386e-10,4,1,1
K6_early_m108,6,108,11,4,ipopt,1.5196025588414148,0.07069454109296203,100,0.0832458075706799,1,0,0
K6_early_m108,6,108,11,5,ccp,1.7521504586730359,0.0030402089469134808,5,8.43769498715119e-15,4,1,1
K6_early_m108,6,108,11,5,ipopt,1.7474921258949065,0.08277254179120064,100,0.0034936656593875792,1,0,0
K6_early_m108,6,108,11,6,ccp,1.6712719780043854,0.0023008338175714016,4,1.1723066517532743e-08,5,1,1
K6_early_m108,6,108,11,6,ipopt,1.6712719750295149,0.10965187521651387,100,1.4697920880379911e-08,5,1,0
K6_early_m108,6,108,11,7,ccp,1.6712719897274428,0.0027320832014083862,5,9.769962616701378e-15,5,1,1
K6_early_m108,6,108,11,7,ipopt,1.6208107084601555,0.06843858305364847,100,0.052747073846415304,1,0,0
K6_early_m108,6,108,11,8,ccp,1.7995238220346432,0.0034627499990165234,6,5.656961565847496e-10,4,1,1
K6_early_m108,6,108,11,8,ipopt,1.401805147194392,0.10608100006356835,100,2.017102040952068e-10,4,1,0
K6_early_m108,6,108,11,9,ccp,1.7521504586727739,0.003149708267301321,5,2.7000623958883807e-13,4,1,1
K6_early_m108,6,108,11,9,ipopt,1.5089969717627878,0.09023262467235327,100,0.0004345324452488253,2,0,0
K6_early_m108,6,108,12,0,ccp,1.799523822599943,0.0027347919531166553,5,3.9679370900103095e-13,4,1,1
K6_early_m108,6,108,12,0,ipopt,1.7836263842578788,0.0743287499062717,100,0.012331351565067594,2,0,0
K6_early_m108,6,108,12,1,ccp,1.7995238213294567,0.0023154160007834435,4,1.270882954429453e-09,4,1,1
K6_early_m108,6,108,12,1,ipopt,1.5509580401197383,0.06991866696625948,100,0.08615778808496688,2,0,0
K6_early_m108,6,108,12,2,ccp,1.797543652651557,0.003656875342130661,6,8.20554735270207e-11,4,1,1
K6_early_m108,6,108,12,2,ipopt,1.422655275720707,0.09921662509441376,100,0.2670890670504529,1,0,0
K6_early_m108,6,108,12,3,ccp,1.752090426026629,0.0021784580312669277,4,4.984035406607745e-11,4,1,1
K6_early_m108,6,108,12,3,ipopt,1.7147685532626578,0.07664429116994143,100,0.054409615734376526,2,0,0
K6_early_m108,6,108,12,4,ccp,1.799523822528577,0.0030573750846087933,5,7.176259586572087e-11,4,1,1
K6_early_m108,6,108,12,4,ipopt,1.6642709291720879,0.07070633256807923,100,0.025293485381394643,2,0,0
K6_early_m108,6,108,12,5,ccp,1.797543652651862,0.003592750057578087,6,8.1749496061434e-11,4,1,1
K6_early_m108,6,108,12,5,ipopt,1.7455176693548624,0.0507935406640172,54,0.004421615247096389,2,0,0
K6_early_m108,6,108,12,6,ccp,1.7975436518775798,0.0020260829478502274,4,8.560316899774989e-10,4,1,1
K6_early_m108,6,108,12,6,ipopt,1.3702082485764906,0.1062681251205504,95,0.35744848962089404,1,0,0
