instance,source,family,K,m,sampler,N,rep,phi,wall_s,ccp_iters,sandwich,regret_rel,miss
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,sobol,128,41,12.925006280336726,0.0030046249739825726,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,sobol,128,42,12.925006280336726,0.0029935413040220737,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,sobol,128,43,12.925006280336726,0.003067291807383299,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,sobol,128,44,12.925006280336726,0.0028620408847928047,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,sobol,128,45,12.925006280336726,0.003204499837011099,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,sobol,128,46,12.925006280336726,0.003031875006854534,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,sobol,128,47,12.925006280336726,0.002814041916280985,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,sobol,128,48,12.925006280336726,0.003369749989360571,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,sobol,128,49,12.925006280336726,0.0028868750669062138,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,sobol,512,0,12.925006280336726,0.0035858331248164177,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,sobol,512,1,12.925006280336726,0.003087750170379877,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,sobol,512,2,12.925006280336726,0.0029642079025506973,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,sobol,512,3,12.925006280336726,0.003508083987981081,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,sobol,512,4,12.925006280336726,0.002997166942805052,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,sobol,512,5,12.925006280336726,0.003763000015169382,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,sobol,512,6,12.925006280336726,0.003041792195290327,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,sobol,512,7,12.925006280336726,0.0029552909545600414,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,sobol,512,8,12.925006280336726,0.0033893329091370106,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,sobol,512,9,12.925006280336726,0.002892791759222746,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,sobol,512,10,12.925006280336726,0.0034861252643167973,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,sobol,512,11,12.925006280336726,0.0029606251046061516,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,sobol,512,12,12.925006280336726,0.0029505002312362194,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,sobol,512,13,12.925006280336726,0.003014833200722933,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,sobol,512,14,12.925006280336726,0.0029387911781668663,18,False,0.0,0
